Timestamp,QA,QA_CIprompt1,QA_CIprompt2,QA_CIprompt3,QB,QB_CIprompt1,QB_CIprompt2,QB_CIprompt3,Gender,Ethnicity
11/16/2022 10:21:50,Neutral,I don't check the comments often ,that there is thing i can do to improve ,2,Agree,i enjoy the classes ,"class and project work enjoyment, workload and exam stress",3,Male,Asian/Asian British
11/16/2022 10:22:17,Agree,Knowledge of my feedback for all of my assignments past,Advice on what I could improve and praise for what I did well,1,Agree,The teaching has been strong so far in the course,Reflecting the best teaching possible that can be found in higher education.,3,Male,White
11/16/2022 10:23:33,Strongly Disagree,I havent had any feedback on my work that was helpful.,"Constructive critisism, identifying good parts of my work and places where I could improve",1,Neutral,"felt about how much I enjoyed it, how much I feel what I am learning is useful and how much I feel the work is easy/difficult","good standard of teaching which is interactive and descriptive so I can visualise it in my head, 1 to 1 help recieved by lecturers, easy to apply what is learnt in lectures into coursework.",2,Male,Asian/Asian British
11/16/2022 10:23:49,Neutral,I took in consideration whether I received helpful comments on my work in my most recent work. As I don't necessarily find if helpful nor unhelpful I put neutral. ,Giving you advices on what to do better next time. Telling what is wrong with what you did. Providing answers. ,1,Agree,"Whether I find my lectures and seminars instructive and interesting, and I do.","Qualified teachers, teaching and sharing their knowledge for their students success. ",4,Female,Other ethnic group
11/16/2022 10:23:53,Strongly Disagree,past assignments ,"feedback that would improve my work, feedback on where I went wrong and on what I did correctly",2,Neutral,the length of the course and how far in we are ,"the experiences, accuracy, content and successfulness of the course being good/ of good quality ",4,Female,Mixed/Multiple ethnic groups
11/16/2022 10:23:54,Disagree,Thought across the four years of University and tried to recall all the comments I have received. And try to summarise it into an overall judgement,Constructive critical comments that can be applied to the next assignment,3,Agree,Considered my feelings towards the course and its value for money,"The course quality for me is based on value for money, workload, ability to understand the concepts (how they are taught), and ease of reaching out to staff",2,Female,White
11/16/2022 10:24:30,Don't Know,We have not been handled any work yet. ,Constructive but firm comments about the coursework you might be working on. ,1,Strongly Agree,"The lectures are very interactive. The more a teacher incentivises participation, the better. ",The quality of teachers and their ability to transmit what they know. ,1,Male,White
11/16/2022 10:24:31,Neutral,"I remembered details added to answers I have supplied previously to get better results. Some were useful, but oftentimes no such details were added. ",Somebody informing me on ways to improve what I have done before. ,4,Strongly Agree,I remembered the smile I wake up to when I am getting ready for the day ahead.,How informative the course is. ,1,Unsure,White
11/16/2022 10:24:44,Agree,I thought about the work I have done last year and in earlier modules this year. I have used most of the feedback given to me so it has been useful.,Comments that inform me on what to do to improve and one’s that I use in later assessments.,1,Neutral,I thought about what modules I thought were better structured than others and how much information I received from all of them,A course that provides good information and support throughout. The lecturers should be passionate and responsive to students. The course should be interesting and useful for the future.,1,Female,White
11/16/2022 10:25:22,Agree,one of my recent assessments for a different module was marked. upon reviewing my score my module convenor also added additional comments stating where i could improve ,comments that tell me what to do next time to achieve a higher score,1,Neutral,"i thought about how much i have learnt since starting this course which is a lot but i also thought about how much i use google to help me when writing code as i find it easier/faster to find answer as opposed to using the course material. this makes me feel like i could learn a lot of what i have been taught in class via google, which makes me doubt the quality of this course","the course's worth when compared to its £9,000+ value",1,Male,Asian/Asian British
